Entity,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mongolia,MNG,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,0.17729,0.20944,0.20183,0.15283,0.15863,0.0424,3.116688451,4.851623621,5.467563571
Montenegro,MNE,4.712055818,10,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Montserrat,MSR,2.34,1.98,2.13,1.8,2.04,2.01,2.2,2.27,1.75,2.3,2.24,1.76,0.87,0.5,4.851623621,5.467563571
Morocco,MAR,4.712055818,6.92133,7.12698,6.91691,6.72653,6.58754,6.69036,6.44365,6.59831,6.81006,6.93356,7.06346,3.228999885,3.116688451,4.851623621,5.467563571
Mozambique,MOZ,6.45,4.185711803,6.48,5.381938767,5.498256203,5.583480988,5.451857326,4.1,5.617688878,3.9,4.18,4.18,2.43,2.46,4,4.02
Namibia,NAM,4.712055818,2.7,2.6,2.9,2.9,3,3,3.3,3,2.9,1.9,2,5.6,2,4.851623621,5.467563571
Nepal,NPL,4.712055818,4.185711803,1.56846,1.64109,1.78415,1.75738,1.89415,1.77426,1.8247,1.94781,1.96039,1.2839,1.36355,1.6,4.851623621,5.467563571
Netherlands,NLD,4.712055818,4.185711803,3.1,3.1,3.2,3.4,3.6,3.9,4.1,4.2,4.3,4.3,2.3,2.4,3.5,3.8
New Zealand,NZL,5.7,5.2,5.2,5.1,5.1,5.1,5,5.6,6.2,5.8,5.8,5.6,5.4,3.4,3.1,3.7
Nigeria,NGA,4.712055818,4.185711803,4.38,4.38,4.5,5.01,5.24,5.56,5.7,5.46,5.44,5.58,4.29,3.116688451,4.851623621,5.467563571
North Macedonia,MKD,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,2.35897,3.228999885,3.116688451,4.851623621,5.467563571
Norway,NOR,3.3,3.7,3.6,3.7,3.7,3.7,3.7,4,4.3,4.1,3.8,4,3,2.5,4.851623621,5.467563571
Oman,OMN,2.34607,2.64871,2.41562,2.11529,2.16009,2.25063,2.26724,2.70296,2.74429,2.65654,2.66233,2.89567,2.51083,2.37241,2.42779,5.467563571
Palau,PLW,17.47299,17.89294,18.6892,21.52718,23.51177,24.82607,25.70048,26.39814,24.65382,21.92255,19.97486,18.1375,9.75938,3.116688451,4.851623621,5.467563571
Palestine,PSE,4.712055818,2.18179,2.54769,1.9277,2.67194,2.06816,2.59985,1.72538,2.2035,2.55702,2.50622,2.92609,0.66226,3.116688451,4.851623621,5.467563571
Panama,PAN,8.8,8.4,8.9,10.4,11.3,11.9,11.5,10.6,10.8,10.9,10.6,10.1,3.2,5.4,10,10.8
Paraguay,PRY,0.4,0.9,0.8,0.7,0.7,0.7,0.7,1.3,1.3,1.5,2.28,2.46,0.56,0.21,1.09,5.467563571
Peru,PER,4.712055818,4.185711803,5.294206892,3.55004,3.61261,3.7077,3.7845,3.86195,3.85807,3.85993,3.86024,3.86307,1.52192,1.67638,2.25857,2.52051
Philippines,PHL,5.70917,5.86957,6.24398,6.8458,7.70185,8.0851,8.85312,9.89692,10.4109,11.74267,12.25807,12.85306,5.10928,5.21305,6.40839,8.58703
Poland,POL,2.16993,1.58816,1.58953,1.78246,2.10103,1.29852,5.451857326,1.17461,5.617688878,5.542608316,2.1,2.2,3.228999885,3.116688451,2.3,5.467563571
Portugal,PRT,4.07,3.97,4.15,5.381938767,5.498256203,5.583480988,6.4632,6.6815,6.9,7.7,8,8.1,4.4,5.7,8.6,9.1
Puerto Rico,PRI,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,3.4127,3.42083,2.91018,3.4083,2.7498,3.116688451,4.851623621,5.467563571
Qatar,QAT,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,1.82417,2.06132,3.10925,3.84671,3.45242,3.16901,3.26748,1.98157,2.31883,2.85699,5.467563571
Reunion,REU,4.712055818,2.41,2.7,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,3.20152,5.345202396,3.3,3.228999885,3.116688451,4.851623621,5.467563571
Romania,ROU,4.712055818,4.185711803,5.294206892,1.81973,1.8618,1.93643,1.95678,2.40154,2.77008,2.78694,2.90898,2.98068,1.57097,1.58301,4.851623621,5.467563571
Russia,RUS,4.712055818,4.185711803,5.294206892,2.55051,2.61132,2.81143,2.91686,2.94184,3.04913,2.44184,2.3982,2.54538,2.15953,2.37011,2.3903,2.51388
Rwanda,RWA,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,2.35,2.72,3.01,3.38,3.44,3.16,0.9,3.116688451,4.851623621,5.467563571
